select,topic_num,name,meaning,keywords
yes,0,buttons,topic 0: various buttons e.g. power and volume control,"0.098*""volume"" + 0.096*""button"" + 0.055*""control"" + 0.030*""device"" + 0.025*""press"" + 0.017*""side"" + 0.015*""change"" + 0.014*""function"" + 0.014*""radio"" + 0.013*""clip"""
no,1,motorola_misc,topic 1: for or related to motorola products,"0.064*""product"" + 0.064*""give"" + 0.053*""motorola"" + 0.051*""star"" + 0.043*""make"" + 0.039*""quality"" + 0.018*""review"" + 0.015*""base"" + 0.015*""reason"" + 0.013*""recommend"""
yes,2,fit_head,"topic 2: how the headeset fit on one's head and ear, such as with glasses","0.067*""wear"" + 0.066*""head"" + 0.048*""set"" + 0.040*""comfortable"" + 0.036*""big"" + 0.033*""feel"" + 0.028*""fit"" + 0.026*""find"" + 0.022*""ear"" + 0.021*""uncomfortable"""
yes,3,noise_cancellation,"topic 3: whether the people you are talking to can hear background noise, especially in cars, whether has noise cancellation feature","0.122*""hear"" + 0.088*""noise"" + 0.046*""people"" + 0.044*""loud"" + 0.043*""talk"" + 0.033*""call"" + 0.031*""clear"" + 0.030*""end"" + 0.030*""car"" + 0.027*""person"""
yes,4,misc_issues_problems,topic 4: miscellaneous problems and issues,"0.212*""work"" + 0.074*""issue"" + 0.063*""problem"" + 0.050*""pair"" + 0.036*""fine"" + 0.035*""samsung"" + 0.025*""great"" + 0.024*""start"" + 0.023*""galaxy"" + 0.021*""phone"""
yes,5,cheap,topic 5: cheaply priced headsets (positive: good quality for the price; negative: breaks easy don't buy),"0.097*""buy"" + 0.081*""price"" + 0.046*""thing"" + 0.045*""quality"" + 0.033*""bt"" + 0.031*""lot"" + 0.029*""cheap"" + 0.025*""lose"" + 0.025*""worth"" + 0.024*""bad"""
yes,6,phone_connection,"topic 6: connection between headset and phone, signal range, reconnection etc","0.197*""phone"" + 0.045*""range"" + 0.040*""connect"" + 0.040*""connection"" + 0.030*""foot"" + 0.026*""walk"" + 0.025*""call"" + 0.024*""lg"" + 0.024*""pocket"" + 0.022*""cell"""
yes,7,fit_ear,"topic 7: fit on into/ear, due to e.g. earbud depth, cover, ear hook shape, ear wires","0.340*""ear"" + 0.100*""fit"" + 0.048*""piece"" + 0.041*""small"" + 0.029*""stay"" + 0.028*""size"" + 0.028*""bud"" + 0.025*""fall"" + 0.024*""hook"" + 0.012*""loop"""
yes,8,great_overall,"topic 8: highly satisfied overall, specially good quality for the price","0.227*""great"" + 0.100*""love"" + 0.062*""work"" + 0.057*""recommend"" + 0.052*""easy"" + 0.030*""comfortable"" + 0.025*""highly"" + 0.024*""purchase"" + 0.021*""blue"" + 0.020*""awesome"""
yes,9,sound_quality,"topic 9: sound quality, sometimes with detailed evaluation, bass","0.039*""quality"" + 0.032*""bass"" + 0.021*""high"" + 0.021*""wireless"" + 0.019*""price"" + 0.018*""set"" + 0.018*""review"" + 0.016*""range"" + 0.015*""provide"" + 0.015*""comfort"""
